"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"108",10991,1260,"Prionotus evolans",37799,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders","open water/substratum egg scatterers","none","3",NA,NA,NA,2,"2015-05-20T00:00:00.000Z",2,"2017-07-24T00:00:00.000Z",NA,NA,"Oviparous (Ref. 37799).",NA,1244
"109",10997,4218,"Prionotus ophryas",37799,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders","open water/substratum egg scatterers","none","3",NA,NA,NA,2,"2015-05-20T00:00:00.000Z",2,"2017-07-24T00:00:00.000Z",NA,NA,"Oviparous (Ref. 37799).",NA,4022
"110",796,4225,"Prionotus stephanophrys",7055,"dioecism","external",NA,NA,NA,NA,NA,1,7055,"nonguarders","open water/substratum egg scatterers","none","3",NA,NA,NA,104,"1996-02-29T00:00:00.000Z",2,"2017-07-24T00:00:00.000Z",NA,NA,NA,NA,4029
"111",5291,10862,"Pungitius hellenicus",26100,"dioecism","external",NA,NA,NA,NA,NA,0,26100,"guarders","nesters","paternal","1",205,NA,NA,34,"1998-02-24T00:00:00.000Z",2,"2011-07-08T00:00:00.000Z",NA,NA,"Males construct a nest made of vegetal material, where females lay the eggs. They guard the eggs until hatching (Ref. 59043).",NA,10540
"112",8292,40526,"Pungitius laevis",59043,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters","paternal","1",205,NA,NA,1790,"2008-01-29T21:01:54.000Z",2,"2011-07-08T00:00:00.000Z",NA,NA,"""Males build a nest hanging to aquatic vegetation and take care of eggs and larvae. Eggs hatch in 10-20 days. Dies at end of spawning season"" (Ref. 59043).",NA,48259
"113",6932,18188,"Pungitius platygaster",9953,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters","paternal","1",4119,NA,NA,10,"1998-03-05T00:00:00.000Z",2,"2011-07-08T00:00:00.000Z",NA,NA,"Territorial during spawning season. Males construct a nest made of filamentous algae and submerged plant and consisted of a separate entrance and exit.  They guard the nest until the young swim away a few weeks later (Ref. 205, 59043).",NA,22914
"114",1750,3469,"Pungitius pungitius",1998,"dioecism","external",NA,NA,NA,NA,"one clear seasonal peak per year",1,27547,"guarders","nesters","paternal","1",4119,NA,NA,113,"1996-01-02T00:00:00.000Z",2,"2016-06-01T00:00:00.000Z",NA,NA,"During the spawning season, both males and females set up territories which are defended against intruders of either sex. The male builds the nest with plant fragments and binds it together with a kidney secretion. The nest has two openings. The male then entices the female into the nest with quick dancing movements. An enticed female follows the male to his nest, enters it through one opening, deposits 50 to 80 eggs, then leaves through the other opening (Ref. 1998, 27547). In nests with one opening, the female enters, turns around, deposits her eggs and leaves (Ref. 27547). The male then enters the nest and fertilizes the eggs as it swims toward  the other opening. More than one female may deposit eggs to the nest. The male guards one opening and aerates the eggs (Ref. 1998). Soon after releasing a clutch of eggs, a female feeds voraciously and in a day or so, is ready to be courted again (Ref. 27547). Sometimes the nest falls apart before the eggs hatch. The male may build a new nest nearby and transfer the eggs to it. At hatching, the male enters the nest to remove egg remains. Newly hatched larvae move to the top of the nest and settle on it. The male may construct a nursery above the nest. As the larvae become more active, the male catches them in his mouth and spits them back to the nest or nursery. As the larvae become more active, the male loses interest in them, and may build a new nest and repeat the process or the breeding season ends (Ref. 28993).  Eggs hatch in 6-7 days (Ref. 59043).",NA,3273
"115",5576,12017,"Ratabulus diversidens",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,11691
"116",2114,4335,"Rhamphocottus richardsonii",28499,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,113,"1999-03-15T00:00:00.000Z",NA,"1999-03-15T00:00:00.000Z",NA,NA,"A female chases a male into a rock crevice. She keeps him there until she lays her eggs (Ref. 28499).",NA,4139
"117",3225,13304,"Rogadius patriciae",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,12982
"118",6541,14572,"Rogadius pristiger",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,15225
"119",10977,4134,"Scorpaena brasiliensis",36715,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2015-05-20T00:00:00.000Z",NA,"2015-05-20T00:00:00.000Z",NA,NA,"Oviparous (Ref. 36715).",NA,3938
"120",10976,4135,"Scorpaena calcarata",36715,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2015-05-20T00:00:00.000Z",NA,"2015-05-20T00:00:00.000Z",NA,NA,"Oviparous (Ref. 36715).",NA,3939
"121",10975,4138,"Scorpaena grandicornis",36715,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2015-05-20T00:00:00.000Z",NA,"2015-05-20T00:00:00.000Z",NA,NA,"Oviparous (Ref. 36715).",NA,3942
"122",2096,4139,"Scorpaena guttata",56049,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders","open water/substratum egg scatterers","none","3",NA,NA,NA,2,"2006-09-12T00:00:00.000Z",2,"2017-07-24T00:00:00.000Z",NA,NA,NA,NA,3943
"123",10973,1217,"Scorpaena plumieri",36715,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2015-05-20T00:00:00.000Z",NA,"2015-05-20T00:00:00.000Z",NA,NA,"Oviparous (Ref. 36715).",NA,1201
"124",12249,4336,"Scorpaenichthys marmoratus",NA,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2017-08-16T00:00:00.000Z",NA,"2017-08-16T00:00:00.000Z",NA,NA,NA,NA,4140
"125",10978,4142,"Scorpaenodes caribbaeus",36715,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2015-05-20T00:00:00.000Z",NA,"2015-05-20T00:00:00.000Z",NA,NA,"Oviparous (Ref. 36715).",NA,3946
"126",2097,4145,"Sebastes aleutianus",34817,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,2,"2001-03-08T00:00:00.000Z",NA,"2001-03-08T00:00:00.000Z",NA,NA,NA,NA,3949
"127",748,4159,"Sebastes dallii",36715,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,2,"2000-12-06T00:00:00.000Z",NA,"2000-12-06T00:00:00.000Z",NA,NA,"Viviparous (Ref. 36715).",NA,3963
"128",749,4160,"Sebastes diploproa",27436,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,113,"1999-03-24T00:00:00.000Z",2,"2001-03-08T00:00:00.000Z",NA,NA,"Gives birth in spring (Ref. 27436).",NA,3964
"129",750,4161,"Sebastes elongatus",34817,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,2,"2001-03-08T00:00:00.000Z",NA,"2001-03-08T00:00:00.000Z",NA,NA,NA,NA,3965
"130",756,4167,"Sebastes goodei",6885,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,113,"1996-09-09T00:00:00.000Z",2,"2001-03-08T00:00:00.000Z",NA,NA,"Viviparous (Ref. 36715, 34817).",NA,3971
"131",2299,4772,"Sebastes inermis",5464,"dioecism","internal (oviduct)",NA,NA,NA,NA,"one clear seasonal peak per year",0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,10,"1993-04-30T00:00:00.000Z",2,"2016-06-01T00:00:00.000Z",NA,NA,"Males established territories ranging from 12 to 70 sq. m; initiated courtship when females approached the territories; lateral display, rushing and turning movements were frequently observed during courtship. Mating pair formed about 30 min before copulation; the pair ascended to 1.5-2.0 m above bottom then males suddenly coiled around the body of females to copulate.",NA,4586
"132",759,4170,"Sebastes jordani",6885,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,113,"1996-09-09T00:00:00.000Z",2,"2001-03-08T00:00:00.000Z",NA,NA,"Viviparous (Ref. 36715, 34817).",NA,3974
"133",761,4172,"Sebastes levis",36715,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,2,"2000-12-07T00:00:00.000Z",2,"2001-03-08T00:00:00.000Z",NA,NA,"Viviparous (Ref. 36715, 34817).",NA,3976
"134",762,4173,"Sebastes macdonaldi",36715,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,2,"2000-12-07T00:00:00.000Z",2,"2001-03-08T00:00:00.000Z",NA,NA,"Viviparous (Ref. 36715, 34817).",NA,3977
"135",766,4177,"Sebastes melanostomus",36715,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,2,"2000-12-07T00:00:00.000Z",2,"2001-03-08T00:00:00.000Z",NA,NA,"Viviparous (Ref. 36715, 34817).",NA,3981
"136",767,4178,"Sebastes miniatus",34817,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,2,"2001-03-08T00:00:00.000Z",NA,"2001-03-08T00:00:00.000Z",NA,NA,NA,NA,3982
"137",768,4179,"Sebastes mystinus",36715,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,2,"2000-12-07T00:00:00.000Z",2,"2001-03-08T00:00:00.000Z",NA,NA,"Viviparous (Ref. 36715, 34817).",NA,3983
"138",772,4183,"Sebastes paucispinis",6885,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,113,"1996-09-18T00:00:00.000Z",2,"2001-03-08T00:00:00.000Z",NA,NA,"Ovoviviparous (Ref. 6885, 37177).",NA,3987
"139",774,4185,"Sebastes pinniger",34817,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,113,"1999-03-24T00:00:00.000Z",2,"2001-03-08T00:00:00.000Z",NA,NA,"Ovoviviparous (Ref. 6885).",NA,3989
"140",781,4192,"Sebastes ruberrimus",34817,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,113,"1999-03-15T00:00:00.000Z",2,"2006-09-20T00:00:00.000Z",NA,NA,NA,NA,3996
"141",785,4196,"Sebastes saxicola",34817,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,113,"1996-09-18T00:00:00.000Z",2,"2001-03-08T00:00:00.000Z",NA,NA,"Ovoviviparous (Ref. 6885).",NA,4000
"142",3612,6854,"Sebastes schlegelii",34817,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,10,"1993-05-03T00:00:00.000Z",2,"2001-03-08T00:00:00.000Z",NA,NA,"Reported as ovoviviparous (Ref. 205).",NA,6534
"143",786,4197,"Sebastes semicinctus",34817,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,2,"2001-03-08T00:00:00.000Z",2,"2006-09-20T00:00:00.000Z",NA,NA,"Viviparous (Ref. 34817).",NA,4001
"144",6117,13374,"Sebastes thompsoni",34817,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,2,"2001-03-08T00:00:00.000Z",NA,"2001-03-08T00:00:00.000Z",NA,NA,NA,NA,13052
"145",7094,18974,"Sebastiscus albofasciatus",34817,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,2,"2001-03-08T00:00:00.000Z",NA,"2001-03-08T00:00:00.000Z",NA,NA,NA,NA,23868
"146",2303,4784,"Sebastiscus marmoratus",5475,"dioecism","internal (oviduct)",NA,NA,NA,NA,"one clear seasonal peak per year",1,5193,"bearers","internal live bearers",NA,NA,NA,NA,NA,10,"1993-05-03T00:00:00.000Z",2,"2016-06-01T00:00:00.000Z",NA,NA,"The species is viviparous (Ref. 5475).      ",NA,4597
"147",5229,10759,"Sebastiscus tertius",34817,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"bearers","internal live bearers",NA,NA,NA,NA,NA,2,"2001-03-08T00:00:00.000Z",NA,"2001-03-08T00:00:00.000Z",NA,NA,NA,NA,10437
"148",5375,11023,"Sorsogona portuguesa",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,10700
"149",1016,1373,"Spinachia spinachia",4119,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters","paternal","1",4119,NA,NA,2,"2008-01-03T00:00:00.000Z",2,"2013-01-22T00:00:00.000Z",NA,NA,"Males build, guard and aerate the nest where the eggs are deposited (Ref. 205). Also Ref. 53335.",NA,1355
"150",5193,10659,"Suggrundus macracanthus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,10336
"151",3232,13314,"Suggrundus meerdervoortii",103751,"protandry","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",2,"2015-07-20T00:00:00.000Z",NA,NA,NA,NA,12993
"152",6093,13232,"Sunagocia arenicola",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,12901
"153",6095,13235,"Sunagocia otaitensis",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,12903
"154",6545,14585,"Thysanophrys celebica",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,15242
"155",6094,13233,"Thysanophrys chiltonae",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,12902
"156",8677,43553,"Thysanophrys cirronasa",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,52352
"157",8361,41163,"Trachidermus fasciatus",35893,"dioecism","external","promiscuity",NA,35893,"1",NA,0,NA,"guarders","clutch tenders","paternal","1",35893,NA,NA,2,"2007-10-01T00:00:00.000Z",NA,"2007-10-01T00:00:00.000Z",NA,NA,NA,NA,48979
"158",2015,3878,"Trichodon trichodon",57910,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2007-02-09T00:00:00.000Z",NA,"2007-02-09T00:00:00.000Z",NA,NA,"Incubation of eggs takes one year (Ref. 57910).",NA,3682
"159",2048,3992,"Ulvaria subbifurcata",58332,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,"paternal","1",58332,NA,NA,2,"2007-05-23T00:00:00.000Z",NA,"2007-05-23T00:00:00.000Z",NA,NA,"Eggs are laid in several clumps or masses which are guarded by the male parent (Ref. 58332).",NA,3796
"160",2049,3993,"Xiphister atropurpureus",58332,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters","paternal","1",58332,NA,NA,2,"2007-05-23T00:00:00.000Z",NA,"2007-05-23T00:00:00.000Z",NA,NA,"Eggs are laid in several clumps or masses which are guarded by the male (Ref. 58332).",NA,3797
"161",2050,3994,"Xiphister mucosus",2850,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders","paternal","1",2850,NA,NA,113,"1999-03-25T00:00:00.000Z",2,"2007-05-23T00:00:00.000Z",NA,NA,"Female lays eggs in a cluster under a rock, male guards the egg mass by wrapping his body around it (Ref. 2850)",NA,3798
"162",10927,4234,"Zaniolepis frenata",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,"paternal","1",205,NA,NA,2,"2015-05-19T00:00:00.000Z",NA,"2015-05-19T00:00:00.000Z",NA,NA,NA,NA,4038
"163",10926,4235,"Zaniolepis latipinnis",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,"paternal","1",205,NA,NA,2,"2015-05-19T00:00:00.000Z",NA,"2015-05-19T00:00:00.000Z",NA,NA,NA,NA,4039
"164",308,494,"Zoarces americanus",35432,"dioecism","internal (oviduct)","monogamy",NA,52884,"1",NA,0,NA,"guarders","nesters","maternal","1",104883,NA,NA,2,"2000-08-14T00:00:00.000Z",2,"2015-10-22T00:00:00.000Z",NA,NA,"Eggs are laid in gelatinous masses guarded by one or both parents until hatching (Ref. 35432). However, more recent evidence suggests that care is provided by the female alone (Ref. 104883).",NA,480
"165",12262,18921,"Zoarces elongatus",NA,"dioecism",NA,NA,NA,NA,NA,NA,0,NA,"bearers",NA,NA,NA,NA,NA,NA,2,"2017-08-18T00:00:00.000Z",NA,"2017-08-18T00:00:00.000Z",NA,NA,NA,NA,23806
